ADDRESS;METRIC;2018 jan;2018 feb;2018 mar;2018 apr;2018 maj;2018 jun;2018 jul;2018 aug;2018 sep;2018 okt;2018 nov;2018 dec
 Tunav−gen 160 A-B  ;MWh;134170;136630;133690;75880;28170;20340;14420;19100;36370;73040;97150;129460;
 Tunav−gen 160 A-B  ;kWh;1118;1040;1108;1092;762;796;655;799;1044;1168;1148;1262;
 Tunav−gen 162 A-B  ;kWh;565;494;461;174;101;91;97;112;96;106;148;240;
 Gamla Landsv−gen 12 A-B  ;kWh;3482;3179;3512;3401;3332;3113;3251;3307;3367;3456;3142;3058;
 Tunav−gen 164  ;kWh;4500;3800;3813;3243;3171;3009;3078;3304;3260;3954;4310;4631;
 Karlsg„rdsgatan 11 A-D  ;m3;3265;3026;3066;1967;713;447;332;482;815;1841;2465;3218;
 Karlsg„rdsgatan 11 A-D  ;MWh;197690;195380;189790;112020;42100;27100;19220;26400;50270;106250;140090;186700;
 Karlsg„rdsgatan 11 A-D  ;kWh;5786;5579;4973;3304;2233;2139;2134;2461;2727;3187;3827;4829;
 Karlsg„rdsgatan 13 A-D  ;kWh;281;239;272;272;302;282;294;293;277;285;274;276;
 Karlsg„rdsgatan 15 A-D  ;kWh;294;245;292;289;307;296;319;332;322;356;414;313;
 Karlsg„rdsgatan 17 A-E  ;kWh;391;328;386;390;406;391;403;406;391;400;383;384;
 Karlsg„rdsgatan 7 A-E  ;kWh;341;292;323;328;333;317;332;367;335;349;339;345;
 Karlsg„rdsgatan 9 A-D  ;kWh;276;235;261;266;279;262;273;279;270;278;268;270;
 Lind„kersv−gen 17 A-D  ;kWh;344;280;292;254;522;196;164;270;308;323;368;394;
 Lind„kersv−gen 17 A-D  ;m3;202;179;200;143;72;58;49;61;81;155;216;271;
 Lind„kersv−gen 17 A-D  ;MWh;11058;10065;10982;6514;2523;1892;1407;1874;3357;7285;10443;13587;
 Lind„kersv−gen 21 A-D  ;kWh;998;829;650;255;171;146;143;287;291;306;574;996;
 Lind„kersv−gen 21 A-D  ;m3;179;160;183;134;63;48;37;49;70;124;180;223;
 Lind„kersv−gen 21 A-D  ;MWh;10382;9451;10401;6168;2343;1694;1045;1589;3030;6034;9254;12116;
 Lind„kersv−gen 23 A-B  ;kWh;172;152;169;153;112;106;92;118;154;168;169;197;
 Lind„kersv−gen 23 A-B  ;MWh;6591;5966;6197;3483;1401;1026;0808;1049;1919;4010;5488;7193;
 Lind„kers−gen 19 A-B  ;kWh;129;1083;1513;874;453;621;347;451;571;460;121;126;
 Lind„kers−gen 19 A-B  ;m3;121;106;116;86;52;44;38;48;56;92;116;141;
 Lind„kers−gen 19 A-B  ;MWh;6488;5819;6164;3568;1433;1142;0854;1157;1965;3885;5329;6974;
 Bro„kersv−gen 3 A-C  ;kWh;390;306;316;302;304;267;290;324;350;371;365;429;
 Bro„kersv−gen 5 A-C  ;kWh;1330;1171;1388;1283;1334;1244;1335;1335;1211;1334;1320;1287;
 Bro„kersv−gen 7 A-D  ;m3;2068;1865;1857;1113;452;316;221;334;522;1044;1557;1989;
 Bro„kersv−gen 7 A-D  ;MWh;120340;115920;111910;64450;27170;19520;12970;17900;32400;61540;87250;112790;
 Bro„kersv−gen 7 A-D  ;kWh;1743;1823;1681;315;50;46;47;48;54;249;772;1549;
 Tunav−gen 264 A-P  ;m3;2281;2221;2213;1317;425;265;229;300;467;1097;1643;2255;
 Tunav−gen 264 A-P  ;MWh;127230;128470;124170;71510;25210;16760;14310;16910;29600;62680;88610;121530;
 Tunav−gen 264 A-P  ;kWh;2774;2457;2534;2301;1813;1649;1348;1993;2376;2917;3075;3281;
 Tunav−gen 272 A-R  ;kWh;610;482;472;421;319;262;274;398;425;566;611;662;
 Marschgatan 19 A  ;kWh;648;663;608;381;334;321;289;377;419;499;618;656;
 Marschgatan 19 B  ;kWh;371;413;466;420;377;305;267;330;351;362;378;393;
 Marschgatan 19 B  ;m3;314;296;289;194;93;60;50;92;155;284;307;393;
 Marschgatan 19 B  ;MWh;16131;15997;15064;8984;3521;2062;1394;2484;4838;8889;13292;17095;
 Tunag„rden  ;m3;1043;961;984;681;304;235;175;206;342;605;817;1042;
 Tunag„rden  ;MWh;57240;56770;55280;31980;12060;9550;6270;8620;16140;29620;40200;54420;
 Tunag„rden  ;kWh;29804;26161;27803;25625;25309;25122;27889;26761;26080;27788;27613;29072;
 Anders Pers gata 1  ;kWh;1728;1652;1802;1100;670;511;561;531;766;887;824;851;
 †sgatan 1  ;kWh;491;431;473;426;340;339;296;357;513;618;540;505;
 †sgatan 1  ;m3;577;550;551;324;148;108;91;102;147;293;396;510;
