ADDRESS;METRIC;2018 jan;2018 feb;2018 mar;2018 apr;2018 maj;2018 jun;2018 jul;2018 aug;2018 sep;2018 okt;2018 nov;2018 dec
 St„nggatan 33 A-H  ;m3;694;648;680;481;241;181;125;190;263;443;571;705;
 St„nggatan 33 A-H  ;MWh;39243;38549;38885;24265;11231;8658;5249;8122;13832;23238;29652;37942;
 St„nggatan 41 A-H  ;kWh;1303;1171;1318;1312;1215;1191;1095;1194;1268;1333;1280;1308;
 St„nggatan 43 A-H  ;m3;1419;1350;1388;938;443;326;230;345;507;875;1141;1419;
 St„nggatan 43 A-H  ;MWh;79760;79220;78420;47760;20230;15040;9020;14580;26910;46080;59220;76220;
Fırr„d 1 / 5-19 ;kWh;454;500;497;211;102;83;6;58;22;97;227;370;
Fırr„d 10 / 151-165 ;kWh;1336;1394;1266;487;87;63;43;48;65;254;547;1019;
Fırr„d 2 / 21-35 ;kWh;1151;1121;1076;457;122;58;38;42;87;244;596;849;
Fırr„d 3 / 39-53 ;kWh;1248;936;842;149;41;23;13;12;46;146;314;801;
Fırr„d 4 / 55-69 ;kWh;303;328;333;151;79;48;25;66;86;159;206;369;
Fırr„d 5 /71-119 ;kWh;830;767;770;261;202;157;162;156;152;175;368;898;
Fırr„d 6 / 89-103 ;kWh;1709;1522;672;369;47;42;49;100;87;555;259;797;
Fırr„d 7 / 105-119 ;kWh;761;503;459;230;206;164;178;132;330;98;167;405;
Fırr„d 8 / 121-133 ;kWh;1711;1607;1684;1474;265;36;27;36;45;119;268;332;
Fırr„d 9 / 135-149 ;kWh;343;298;290;84;45;52;31;31;24;85;169;340;
 Pilt Jans v−g 41  ;kWh;4234;3522;3746;3137;2856;2661;2292;2906;3170;3752;3915;3619;
Norr Amsberg 402 fd l−rarbostad ;kWh;3323;3374;3246;2768;2583;2143;1730;2083;2371;2586;2846;2861;
Norr Amsberg Garage ;kWh;3918;5126;2812;1364;784;616;1017;2853;1434;1510;1721;2968;
Norr Amsberg Garage ;m3;326;320;313;164;66;32;34;49;76;150;223;342;
Norr Amsberg Garage ;MWh;14551;14562;14299;8110;3159;1242;1236;1721;3236;6970;11490;16204;
 Bysjın 11 A-D  ;kWh;897;927;894;565;290;260;251;265;373;345;428;537;
 Bysjın 17  ;kWh;226;283;270;48;14;3;38;3;8;37;91;183;
 Bysjın 21 A-B  ;kWh;417;401;400;225;131;109;113;117;139;204;261;326;
 Bysjın 3 A-D  ;kWh;580;627;611;415;260;283;230;265;251;445;524;628;
 Bysjın 6 A-C  ;kWh;1745;1645;1529;1011;657;547;554;690;892;1171;1670;2125;
Kvarterslokal ;kWh;528;439;487;415;397;388;393;428;457;506;506;626;
Tv−ttstuga ;m3;2066;1804;1990;1616;1084;852;712;888;1039;1555;1854;2140;
Tv−ttstuga ;MWh;114670;113590;116780;77230;38960;31900;25100;30330;46190;70890;87340;113890;
Tv−ttstuga ;kWh;2225;1973;2086;1950;1804;1658;1465;1650;2080;2236;2173;2363;
 Lugna gatan 4 A-C  ;m3;688;648;692;473;215;144;104;152;220;403;547;691;
 Lugna gatan 4 A-C  ;MWh;37990;39340;40300;25020;10300;6990;4590;6910;12170;21170;28070;37480;
 Lugna gatan 4 A-C  ;kWh;484;436;450;467;391;323;339;378;501;488;457;520;
 Lugna gatan 6 A-C  ;kWh;1480;1408;1105;700;762;762;599;657;695;827;892;1038;
Predikantgatan 18 ;MWh;8609;7990;8143;3614;1134;1129;0704;1183;1923;3410;4340;5185;
Predikantgatan 18 ;kWh;390;337;388;390;402;396;437;482;465;478;451;444;
: 308 Kungsljuset ;kWh;2064;2030;1780;1402;1560;1588;1593;1609;1466;1314;1810;2305;
Ringargatan 63 A-E ;MWh;7930;7867;7524;2761;1246;0933;0921;0920;1353;2180;3037;4131;
Ringargatan 63 F-J ;MWh;7768;7779;7686;2703;1511;1208;1027;1041;1428;1972;2966;3944;
Ringargatan 65 ;m3;227;217;212;89;49;34;32;36;53;82;119;150;
Ringargatan 65 ;MWh;12260;12636;11462;4128;1539;0819;0787;0888;1935;3584;5550;7473;
Majgatan 5 A-L ;m3;179;169;166;126;93;67;62;68;86;108;141;176;
Majgatan 5 A-L ;MWh;10025;10707;9491;6025;3131;1799;2164;1694;3077;5252;6182;9477;
Majgatan 5 A-L ;kWh;1169;1181;1104;861;720;688;694;694;709;762;864;1122;
 Kvarnforsplan 1-3  ;kWh;674;1055;925;774;696;564;631;734;794;897;826;841;
 Kvarnforsplan 5-7  ;m3;1304;1161;1196;801;357;255;178;270;422;778;1035;1272;
 Kvarnforsplan 5-7  ;MWh;79240;78010;76660;45280;17170;12510;7820;12660;24000;42860;57800;74720;
 Kvarnforsplan 5-7  ;kWh;2807;2506;2886;2582;2309;2558;2716;2939;2723;2669;2521;2385;
 Sveaborgsgatan 3-5  ;kWh;1120;1010;1118;909;554;495;394;516;742;916;996;1037;
 Stinsens v−g 2  ;kWh;4387;3935;3897;3301;2751;2555;2499;2754;3127;3435;3596;4018;
 Stinsens v−g 2  ;m3;937;824;860;578;223;164;111;173;288;573;764;934;
 Stinsens v−g 2  ;MWh;52250;51580;50860;29760;8900;6820;3920;6910;15180;29340;38930;50810;
 Stinsens v−g 4 A-F  ;m3;837;750;778;475;172;133;95;143;237;484;661;827;
 Stinsens v−g 4 A-F  ;MWh;50760;49810;49840;27600;8510;6680;4180;6910;14040;27460;36830;48620;
 H−sthovsgatan 1 A-C  ;kWh;1092;973;794;357;233;180;210;432;605;726;1066;1911;
 H−sthovsgatan 3 A-C  ;kWh;99;78;73;54;41;29;33;48;60;84;209;593;
 H−sthovsgatan 5 A-C  ;m3;3502;3170;3305;2213;1072;839;562;842;1070;2087;3049;3712;
 H−sthovsgatan 5 A-C  ;MWh;198620;196480;194680;118480;52990;43270;26630;40270;58430;108890;152330;196780;
 H−sthovsgatan 5 A-C  ;kWh;2512;2309;2657;2525;2079;1813;1648;1868;2236;2559;2666;2856;
 –rtgatan 5 A-H  ;kWh;1147;1206;905;422;209;162;187;254;295;539;879;1141;
 H−sthovsgatan 11  ;kWh;504;488;492;374;270;259;191;263;354;434;430;555;
 H−sthovsgatan 7 A-B  ;kWh;1071;623;462;177;65;50;49;72;86;189;393;874;
 H−sthovsgatan 9 A-B  ;kWh;197;203;140;133;122;78;128;128;99;72;78;627;
 Kaprifolgatan 1  ;MWh;4270;4330;4446;3335;2319;1326;1050;0728;1553;2504;2927;3602;
 Kaprifolgatan 1  ;kWh;2285;2083;2329;1942;1465;1391;1253;1571;1680;1960;2249;2647;
 Logatan 34  ;kWh;500;449;494;477;443;365;345;367;462;511;508;519;
 Logatan 36  ;m3;1026;935;973;642;286;204;164;220;309;591;800;1001;
 Logatan 36  ;MWh;56390;56480;56080;32850;12580;9050;6950;8870;15650;29610;39820;53400;
 Logatan 36  ;kWh;1203;1183;1044;696;516;497;353;552;669;756;1070;1311;
 Logatan 38  ;kWh;64;54;53;38;26;18;18;28;37;41;45;63;
 Logatan 40  ;kWh;440;431;416;253;116;103;120;136;135;209;346;421;
 Betesgatan 10 A-B  ;kWh;4906;4305;4895;4799;4552;4064;4366;4682;4668;4877;4738;4806;
 Betesgatan 10 C-F  ;kWh;4984;4184;4776;4809;4962;4807;4211;4645;4698;4834;4551;4589;
 Betesgatan 2 A-C  ;kWh;4765;4387;4724;3958;3195;2873;2426;2719;3271;3960;4219;4686;
 Betesgatan 2 D-H  ;kWh;5142;6124;6472;5070;3726;3236;2905;3140;3849;4911;5381;6163;
 Betesgatan 4 A-E  ;kWh;5068;4785;5177;4386;3730;3425;3511;3364;3398;4075;4290;4844;
 Betesgatan 4 F-G  ;kWh;5568;5351;5806;4966;4249;3971;3799;3781;4420;4931;5015;5215;
 Betesgatan 6 A-B  ;kWh;5935;5736;6147;5078;4346;4249;3799;4359;4169;4558;4592;5612;
 Betesgatan 6 C-G  ;kWh;7557;7055;7681;5527;4030;3745;3967;3953;3815;4757;5601;7006;
 Betesgatan 8 A-E  ;kWh;6847;6296;6643;5527;4601;4172;4550;4670;4789;5567;5887;6676;
 Betesgatan 8 F-G  ;kWh;6195;5884;6266;5052;4446;4228;3915;4291;4460;5292;5525;5500;
: 321  Palsternackan 1  ;m3;6251;5677;5815;4157;2560;1957;1719;2074;2517;4119;5391;6386;
: 321  Palsternackan 1  ;MWh;404510;403710;394540;252020;149300;120260;107500;117940;152370;232930;300300;387360;
Bondegatan 12 PC ;m3;206;185;262;261;148;46;28;22;52;172;245;355;
Bondegatan 12 PC ;MWh;10006;9918;11309;7929;4288;2014;1174;0836;0511;6695;8567;11301;
Bondegatan 12 PC ;kWh;5273;5009;4948;1823;803;596;620;728;1129;1956;2912;4277;
 Bondegatan 10 A-C  ;kWh;620;547;565;463;393;363;373;431;514;632;683;710;
 Bondegatan 10 A-C  ;m3;743;681;706;453;177;120;88;126;214;427;566;740;
 Bondegatan 10 A-C  ;MWh;43286;43112;42752;25163;9101;6339;4349;6144;12453;23222;29831;40797;
 Bondegatan 2  ;kWh;88;79;88;83;72;62;75;103;141;185;195;172;
 Bondegatan 4 A-B  ;kWh;215;201;218;181;190;180;194;215;206;241;260;291;
 Bondegatan 6 A-C  ;kWh;3;2;0;0;0;0;0;0;0;1;0;0;
 Bondegatan 6 A-C  ;m3;1546;1385;1396;888;362;286;227;309;454;908;1237;1561;
 Bondegatan 6 A-C  ;MWh;86410;85090;81860;46830;16720;13830;10350;13690;24830;47940;63710;84880;
 Bondegatan 8 A-D  ;kWh;1586;1476;1458;1465;1389;1264;1203;1631;1430;1474;1432;1508;
 Bondegatan 8 A-D  ;m3;984;908;916;599;285;201;160;217;313;575;781;981;
 Bondegatan 8 A-D  ;MWh;54910;55810;53860;30610;12060;8610;6450;8620;16290;29440;39460;52860;
 Allfarv−gen 61 A-B  ;kWh;2742;2641;2913;2553;1705;1313;1113;1200;1097;1447;1796;2371;
 Allfarv−gen 61 A-B  ;m3;475;425;418;271;143;110;98;105;149;272;374;457;
 Allfarv−gen 61 A-B  ;MWh;25404;24980;23497;12564;4814;3640;2945;3128;6504;12933;17924;23482;
 Allfarv−gen 63  ;kWh;1556;1403;1583;1568;1622;1515;1560;1430;1275;1274;1195;1319;
 Allfarv−gen 65  ;kWh;1728;1563;1700;1635;1437;1444;1369;1473;1569;1692;1642;1681;
 Allfarv−gen 65  ;m3;635;593;585;367;200;153;140;160;213;372;485;502;
 Allfarv−gen 65  ;MWh;37510;38380;36150;18460;7120;5250;4500;4880;9210;18170;24660;29600;
 Bondegatan 3 A-C  ;m3;691;648;652;405;171;131;102;131;194;373;528;678;
 Bondegatan 3 A-C  ;MWh;40495;41213;39813;22716;9130;7255;5492;6661;11480;20780;28655;38270;
 Bondegatan 3 A-C  ;kWh;2023;1880;1834;1779;1497;1448;1403;1453;1633;1901;1956;2146;
 Bondegatan 5 A-B  ;kWh;607;545;596;581;420;352;271;397;448;562;704;575;
 Bondegatan 5 A-B  ;m3;993;899;925;640;347;265;240;240;358;607;797;980;
 Bondegatan 5 A-B  ;MWh;58270;57847;56801;33838;14759;11377;8817;10103;18164;31707;41612;55015;
 Bondegatan 7 A-C  ;kWh;270;151;146;193;134;137;162;199;256;156;347;150;
 Vallgatan 4 A-C  ;kWh;1173;1008;993;943;932;877;928;892;940;1110;1114;1211;
 Vallgatan 4 A-C  ;m3;573;535;542;328;150;111;96;123;179;343;462;570;
 Vallgatan 4 A-C  ;MWh;32679;33330;32346;17322;6595;4838;3933;4998;9455;18069;24078;32592;
 Allfarv−gen 45-51  ;kWh;2862;5507;5342;1453;1068;673;667;628;781;1676;1802;1680;
 Allfarv−gen 45-51  ;m3;733;705;706;449;249;194;157;221;270;418;565;694;
 Allfarv−gen 45-51  ;MWh;42809;43870;42092;23452;10173;7730;5504;7975;12595;21126;29653;40063;
 Skırdegatan 10-18  ;m3;871;795;835;571;324;240;212;273;316;532;699;856;
 Skırdegatan 10-18  ;MWh;47452;48137;47807;28073;13004;9805;8282;10057;15269;25834;33781;44679;
 Skırdegatan 10-18  ;kWh;2485;4746;4278;3564;2680;2381;2069;2129;2168;2526;2412;2405;
 Vallgatan 1-3, Allfarv 53-55  ;kWh;2604;2405;2286;2098;1881;1586;1693;1860;1915;2254;2268;2499;
 Vallgatan 1-3, Allfarv 53-55  ;m3;713;651;676;467;246;172;149;193;267;429;572;704;
 Vallgatan 1-3, Allfarv 53-55  ;MWh;40469;40575;39790;23081;9649;6755;5538;7082;12886;21250;28472;38556;
 Vallgatan 5-7 ;kWh;40;354;558;65;99;82;90;95;61;54;71;69;
 Vallgatan 5-7 ;m3;454;406;408;265;143;118;92;111;148;255;353;440;
 Vallgatan 5-7 ;MWh;25173;24698;23740;13285;5179;4230;3091;3667;6775;12677;17871;23783;
Vallgatan 9-11 ;kWh;450;404;427;366;262;229;191;282;492;461;489;520;
Vallgatan 9-11 ;m3;459;433;444;313;158;127;102;136;172;300;393;477;
Vallgatan 9-11 ;MWh;22881;24125;23457;14468;5935;5037;3620;4709;7857;13583;17480;22813;
 Allfarv−gen 37-43  ;kWh;1338;764;789;705;561;536;499;605;830;825;1296;1146;
 Allfarv−gen 37-43  ;m3;930;864;876;620;356;297;252;323;376;608;772;892;
 Allfarv−gen 37-43  ;MWh;53544;54518;52500;31854;15323;13109;10410;13288;19124;31010;39250;48794;
 Skırdegatan 2-8  ;kWh;2383;2072;2014;1524;1305;868;728;691;1196;1736;1669;2099;
 Skırdegatan 2-8  ;m3;803;741;765;500;240;168;125;180;256;465;630;792;
 Skırdegatan 2-8  ;MWh;47056;48129;47021;27168;11264;8062;5402;7801;14239;25122;33460;44698;
 Skırdegatan 11-15  ;kWh;1627;1509;1634;1497;1141;1098;1012;1030;1164;1280;1459;1693;
 Skırdegatan 11-15  ;m3;1121;1051;1084;750;416;322;256;331;410;702;916;1128;
 Skırdegatan 11-15  ;MWh;62591;64476;63263;38260;17974;14264;10513;13387;20900;35827;46623;61139;
 Skırdegatan 17-19  ;kWh;220;182;201;191;186;183;193;194;190;201;206;210;
 Skırdegatan 21-25  ;kWh;2261;3288;3183;1430;522;482;412;474;852;1496;1521;2116;
 Skırdegatan 21-25  ;m3;677;615;626;411;208;154;133;188;267;393;525;667;
 Skırdegatan 21-25  ;MWh;38617;38493;37170;21931;9626;7410;5991;8305;14005;20246;26426;35744;
 Vallgatan 13-17  ;kWh;2673;2377;2683;2765;2470;2148;2204;2715;3151;3418;4149;3373;
 Vallgatan 13-17  ;m3;724;666;686;470;268;192;166;207;251;428;553;682;
 Vallgatan 13-17  ;MWh;41077;41390;40503;23971;11163;7872;6352;7799;12420;21775;28353;37372;
 Vallgatan 19  ;m3;649;586;598;406;201;155;125;159;221;406;532;658;
 Vallgatan 19  ;MWh;35333;35166;34083;19758;7441;5736;3975;5318;10273;19750;25987;34489;
 Vallgatan 19  ;kWh;800;675;738;727;558;513;466;546;623;772;742;776;
 Vallgatan 21  ;kWh;1520;1377;1212;914;689;589;591;693;788;1246;1338;1601;
 Hagav−gen 74  ;kWh;2686;2759;3031;2410;1922;631;444;1022;1882;2029;2151;2712;
 Hagav−gen 74  ;m3;359;323;340;223;100;76;58;82;113;217;291;365;
 Hagav−gen 74  ;MWh;18886;18627;18660;10650;3833;2932;1942;2869;5414;10430;13873;18564;
 T−gtv−gen 21-23  ;m3;294;224;238;184;116;89;72;101;118;236;213;243;
 T−gtv−gen 21-23  ;MWh;14603;11838;11672;7619;4035;3213;2464;3302;4896;7586;8836;11354;
 T−gtv−gen 21-23  ;kWh;792;647;765;764;723;558;557;763;682;661;722;679;
 Parkgatan 13  ;kWh;868;779;720;476;510;476;531;541;576;701;790;932;
 Parkgatan 15  ;kWh;109;99;112;92;73;53;57;61;68;107;111;114;
 T„ngringsgatan 28 A-B  ;m3;632;579;586;355;161;113;104;111;211;379;503;641;
 T„ngringsgatan 28 A-B  ;MWh;35840;35720;34300;18090;6110;3560;3180;3620;10210;19300;26060;34770;
 T„ngringsgatan 28 A-B  ;kWh;655;560;547;569;416;400;455;381;485;555;590;556;
 Parkgatan 12 A-B  ;kWh;3871;3645;4443;4329;3897;3510;3570;3654;3410;3660;3563;3714;
 Parkgatan 8 A-B  ;m3;3458;3162;3280;1921;575;467;294;445;932;1826;2447;3145;
 Parkgatan 8 A-B  ;MWh;176640;174440;171910;96200;31180;26110;16660;25440;54370;95850;123710;161080;
 Parkgatan 8 A-B  ;kWh;5344;5396;5867;5258;4660;3900;4032;4056;3998;4407;4817;5944;
 Engelbrektsgatan 22  ;m3;2855;2642;2654;1805;1009;835;717;782;1017;1769;2312;2865;
 Engelbrektsgatan 22  ;MWh;175450;177920;170490;101440;51020;42030;36340;39810;56550;98200;128710;169500;
 Sturegatan 21  ;kWh;25037;23172;25820;23987;23711;23018;22796;22854;22280;23434;23640;24965;
 Thenstedtsgatan 9 ;m3;423;416;410;299;182;150;129;167;191;293;322;379;
 Thenstedtsgatan 9 ;MWh;22586;23480;22402;14312;7651;6731;5383;6634;9034;14189;15658;20375;
 Thenstedtsgatan 9 ;kWh;8233;7955;8148;6717;5811;5622;5386;5505;5811;6766;7777;8783;
 Thenstedtsgatan 5 ;m3;426;418;416;272;149;113;102;123;147;248;340;434;
 Thenstedtsgatan 5 ;MWh;22350;23000;22180;12470;5750;4440;4030;4450;6370;11500;15930;21530;
 Thenstedtsgatan 5 ;kWh;9216;8336;8897;8242;8326;8373;9628;8922;8050;8507;8603;8589;
 Thenstedtsgatan 3  ;m3;529;483;514;336;189;164;147;181;205;319;414;525;
 Thenstedtsgatan 3  ;MWh;28316;26085;27004;15103;7066;6572;5535;6609;8970;14689;19413;26044;
 Thenstedtsgatan 3  ;kWh;7911;7422;7514;6368;5484;4924;5187;5179;6551;6943;6952;7278;
Tv−ttstuga, Gıs Eriks v−g ;m3;8208;8176;8118;4927;2121;1765;1517;1726;2611;4449;5745;7725;
Tv−ttstuga, Gıs Eriks v−g ;MWh;342070;340070;345020;228610;99590;82450;66250;72820;118370;192280;243110;315020;
Tv−ttstuga, Gıs Eriks v−g ;kWh;6136;5255;5422;4774;3119;2762;2347;3476;4846;5608;5948;6509;
Tv−ttstuga, St„nggatan ;kWh;8987;8244;8474;5873;4462;3620;3625;4305;4865;6139;6894;9043;
Tv−ttstuga, St„nggatan ;m3;174;168;173;118;59;44;35;47;58;105;141;178;
Tv−ttstuga, St„nggatan ;MWh;9377;9632;9402;5332;2108;1588;1131;1448;2545;4957;6704;9109;
-002: T−ppgatan 34 ;m3;517;487;490;357;155;114;77;111;179;335;436;614;
-002: T−ppgatan 34 ;MWh;25696;26187;24722;15640;4914;3432;1445;2958;7747;15143;19968;29673;
-002: T−ppgatan 34 ;kWh;4398;5438;4644;3360;2665;2063;1109;1023;999;1071;1112;1243;
U: 181 Undercentral - v−rme, kv ;m3;2263;2385;2523;1791;627;478;291;481;933;1648;2149;2604;
U: 181 Undercentral - v−rme, kv ;MWh;133230;142610;141730;91140;32200;26020;16480;26280;53260;86130;107530;135970;
Uthus/V−rmecentral ;m3;302;282;286;180;66;45;30;49;78;177;239;294;
Uthus/V−rmecentral ;MWh;17045;16822;16311;8783;2380;1442;0624;1364;3403;8645;11978;15521;
V−rme  central / Kometgatan ;m3;9463;8963;9263;6110;2758;2155;1719;2414;3270;5707;7504;9543;
V−rme  central / Kometgatan ;MWh;560460;551220;550920;348080;178190;149790;121990;146900;215070;335280;415550;529810;
V−rme central / Planetgatan ;m3;10931;10220;10686;7292;3884;3079;2647;3076;4010;7006;9227;11447;
V−rme central / Planetgatan ;MWh;642170;627870;640140;426710;228620;195650;161060;188200;277660;426270;520350;644490;
V−rmecentral i Jax skolan ;m3;2004;1854;1886;1206;408;281;170;283;558;1162;1584;2073;
V−rmecentral i Jax skolan ;MWh;83190;81600;81410;50120;17080;13410;7990;13410;28270;49370;62350;80530;
