4;kWh;;536342 (anl);10101-001:;101  Sturegr−nd 1-9  ;Byggnad;2018 sep;1616
4;kWh;;536342 (anl);10101-001:;101  Sturegr−nd 1-9  ;Byggnad;2018 okt;1737
4;kWh;;536342 (anl);10101-001:;101  Sturegr−nd 1-9  ;Byggnad;2018 nov;1754
4;kWh;;536342 (anl);10101-001:;101  Sturegr−nd 1-9  ;Byggnad;2018 dec;1763
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 jan;1037
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 feb;995
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 mar;777
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 apr;292
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 maj;139
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 jun;113
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 jul;122
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 aug;146
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 sep;167
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 okt;274
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 nov;577
5;kWh;;536337 (anl);10101-003:;101  Vasagatan 31-39  ;Byggnad;2018 dec;633
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 jan;4132
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 feb;3613
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 mar;3210
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 apr;3167
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 maj;3443
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 jun;3765
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 jul;3949
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 aug;4249
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 sep;3934
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 okt;4282
6;kWh;;536338 (anl);10102-001:;102  Vasagatan 27  ;Byggnad;2018 nov;4036
