53	536681 (anl)	10153-005: 153  Karlsg„rdsgatan 15 A-D  (Byggnad )
54	536682 (anl)	10153-006: 153  Karlsg„rdsgatan 17 A-E  (Byggnad )
55	536675 (anl)	10153-001: 153  Karlsg„rdsgatan 7 A-E  (Byggnad )
56	536677 (anl)	10153-002: 153  Karlsg„rdsgatan 9 A-D  (Byggnad )
57	536697 (anl)	10154-001: 154  Lind„kersv−gen 17 A-D  (Byggnad )
57	630156 (anl)	10154-001: 154  Lind„kersv−gen 17 A-D  (Byggnad )
58	630156 (anl)	10154-001: 154  Lind„kersv−gen 17 A-D  (Byggnad )
59	536711 (anl)	10154-003: 154  Lind„kersv−gen 21 A-D  (Byggnad )
59	630149 (anl)	10154-003: 154  Lind„kersv−gen 21 A-D  (Byggnad )
60	630149 (anl)	10154-003: 154  Lind„kersv−gen 21 A-D  (Byggnad )
61	536702 (anl)	10154-002: 154  Lind„kersv−gen 23 A-B  (Byggnad )
61	630157 (anl)	10154-002: 154  Lind„kersv−gen 23 A-B  (Byggnad )
62	630157 (anl)	10154-002: 154  Lind„kersv−gen 23 A-B  (Byggnad )
63	536688 (anl)	10154-004: 154  Lind„kers−gen 19 A-B  (Byggnad )
63	630148 (anl)	10154-004: 154  Lind„kers−gen 19 A-B  (Byggnad )
64	630148 (anl)	10154-004: 154  Lind„kers−gen 19 A-B  (Byggnad )
65	536727 (anl)	10155-003: 155  Bro„kersv−gen 3 A-C  (Byggnad )
66	536726 (anl)	10155-002: 155  Bro„kersv−gen 5 A-C  (Byggnad )
67	536733 (anl)	10155-001: 155  Bro„kersv−gen 7 A-D  (Byggnad )
67	536733 (anl)	10155-001: 155  Bro„kersv−gen 7 A-D  (Byggnad )
68	536731 (anl)	10155-001: 155  Bro„kersv−gen 7 A-D  (Byggnad )
68	536730 (anl)	10155-001: 155  Bro„kersv−gen 7 A-D  (Byggnad )
69	536729 (anl)	10155-001: 155  Bro„kersv−gen 7 A-D  (Byggnad )
69	637395 (anl)	10155-001: 155  Bro„kersv−gen 7 A-D  (Byggnad )
70	608018 (anl)	10156-001: 156  Tunav−gen 264 A-P  (Byggnad )
70	608018 (anl)	10156-001: 156  Tunav−gen 264 A-P  (Byggnad )
71	536745 (anl)	10156-001: 156  Tunav−gen 264 A-P  (Byggnad )
72	536747 (anl)	10156-003: 156  Tunav−gen 272 A-R  (Byggnad )
73	536749 (anl)	10157-001: 157  Marschgatan 19 A  (Byggnad )
74	536751 (anl)	10157-002: 157  Marschgatan 19 B  (Byggnad )
74	613588 (anl)	10157-002: 157  Marschgatan 19 B  (Byggnad )
75	613588 (anl)	10157-002: 157  Marschgatan 19 B  (Byggnad )
76	607073 (anl)	10158-001: 158  Tunag„rden  (Byggnad )
76	607073 (anl)	10158-001: 158  Tunag„rden  (Byggnad )
77	637346 (anl)	10158-001: 158  Tunag„rden  (Byggnad )
78	536643 (anl)	10161-002: 161  Anders Pers gata 1  (Byggnad )
79	536641 (anl)	10161-001: 161  †sgatan 1  (Byggnad )
79	636396 (anl)	10161-001: 161  †sgatan 1  (Byggnad )
80	636396 (anl)	10161-001: 161  †sgatan 1  (Byggnad )
81	536669 (anl)	10163-001: 163  Hemgatan 51 A-F  (Byggnad )
81	628333 (anl)	10163-001: 163  Hemgatan 51 A-F  (Byggnad )
82	628333 (anl)	10163-001: 163  Hemgatan 51 A-F  (Byggnad )
83	536671 (anl)	10163-002: 163  Hemgatan 53  (Byggnad )
83	628797 (anl)	10163-002: 163  Hemgatan 53  (Byggnad )
84	628797 (anl)	10163-002: 163  Hemgatan 53  (Byggnad )
85	536668 (anl)	10163-003: 163  Hemgatan 55  (Byggnad )
86	536666 (anl)	10163-004: 163  Hemgatan 59 A-D  (Byggnad )
86	628353 (anl)	10163-004: 163  Hemgatan 59 A-D  (Byggnad )
87	628353 (anl)	10163-004: 163  Hemgatan 59 A-D  (Byggnad )
88	536665 (anl)	10163-005: 163  Hemgatan 61 A-D  (Byggnad )
89	634564 (anl)	10164-004: 164  Hagbacksgatan 30  (Byggnad )
